,Popularity,Score
1417,8738,6.31
1418,1436,6.33
1419,10004,6.29
1420,6976,6.31
1421,9858,6.29
1422,12180,6.29
1423,5086,6.28
1424,8083,6.31
1425,7154,6.31
1426,11327,6.28
1427,11480,6.33
1428,4209,6.28
1429,10973,6.28
1430,5137,6.28
1431,13444,6.28
1432,4614,6.28
1433,4450,6.28
1434,8448,6.28
1435,12489,6.28
1436,5218,6.27
1437,7635,6.27
1438,6894,6.32
1439,11326,6.28
1440,4037,6.27
1441,9416,6.26
1442,10042,6.26
1443,1545,6.25
1444,12570,6.26
1445,1982,6.25
1446,9760,6.25
1447,9494,6.28
1448,4497,6.27
1449,3714,6.28
1450,11948,6.25
1451,10794,6.25
1452,5269,6.27
1453,10428,6.25
1454,11229,6.25
1455,10276,6.25
1456,9877,6.25
1457,10955,6.24
1458,12741,6.25
1459,12507,6.26
1460,11311,6.24
1461,2945,6.24
1462,6481,6.25
1463,14070,6.23
1464,6161,6.23
1465,7843,6.23
1466,7210,6.23
1467,8093,6.24
1468,3636,6.25
1469,8164,6.23
1470,8419,6.22
1471,6162,6.22
1472,13146,6.25
1473,11039,6.25
1474,12200,6.21
1475,9420,6.21
1476,8147,6.21
1477,10460,6.21
1478,10984,6.22
1479,8991,6.23
1480,9540,6.2
1481,7439,6.2
1482,6734,6.23
1483,5338,6.23
1484,13171,6.22
1485,10208,6.2
1486,10025,6.2
1487,4866,6.2
1488,10746,6.2
1489,8704,6.2
1490,5255,6.2
1491,6825,6.2
1492,3170,6.2
1493,10099,6.2
1494,9656,6.2
1495,15500,6.2
1496,7479,6.2
1497,9920,6.21
1498,8902,6.2
1499,8314,6.2
1500,5187,6.2
1501,13209,6.2
1502,6517,6.21
1503,9651,6.21
1504,11086,6.21
1505,10716,6.21
1506,4575,6.2
1507,10912,6.19
1508,9603,6.2
1509,1583,6.2
1510,11295,6.19
1511,9876,6.18
1512,13982,6.21
